item_id	omeka_id	error
IL-MTFN-001-G-F-0091-001-R0003	8176	
IL-MTFN-001-G-F-0091-001-R0004	8177	
IL-MTFN-001-G-F-0092-001-R0001	8178	
IL-MTFN-001-G-F-0093-002-R0001	8179	
IL-MTFN-001-G-F-0093-003-R0002	8180	
IL-MTFN-001-G-F-0093-003-R0003	8181	
IL-MTFN-001-G-F-0093-003-R0004	8182	
IL-MTFN-001-G-F-0093-003-R0005	8183	
IL-MTFN-001-G-F-0093-003-R0006	8184	
IL-MTFN-001-G-F-0093-003-R0007	8185	
IL-MTFN-001-G-F-0093-003-R0008	8186	
IL-MTFN-001-G-F-0093-003-R0009	8187	
IL-MTFN-001-G-F-0093-003-R0010	8188	
IL-MTFN-001-G-F-0093-004-R0001	8189	
